alt,val
0,800.0
10,795.5
20,791.0
30,786.5
40,782.0
50,777.5
60,773.0
70,768.5
80,764.0
90,759.5
100,755.0
110,738.4
120,721.8
130,705.2
140,688.6
150,672.0
160,656.0
170,640.0
180,624.0
190,608.0
200,592.0
210,587.0
220,582.0
230,577.0
240,572.0
250,567.0
260,551.8
270,536.6
280,521.4
290,506.2
300,491.0
310,475.8
320,460.6
330,445.4
340,430.2
350,415.0
360,393.6
370,372.2
380,350.8
390,329.4
400,308.0
410,285.0
