start_weight,alt,tas,time,fuel,dist
6000,0,170,0,0,0
6000,5000,183,2.0,31,6
6000,10000,198,4.2,62,13
6000,15000,214,6.7,93,21
6000,20000,233,9.6,125,32
6000,25000,254,12.9,159,46
6000,30000,278,16.8,195,63
6000,35000,288,21.9,235,87
6000,40000,287,30.1,288,127
