alt,val
0,170.0
10,183.3
20,196.6
30,209.9
40,223.2
50,236.5
60,249.8
70,263.1
80,276.4
90,289.7
100,303.0
110,304.8
120,306.6
130,308.4
140,310.2
150,312.0
160,313.2
170,314.4
180,315.6
190,316.8
200,318.0
210,322.4
220,326.8
230,331.2
240,335.6
250,340.0
260,340.6
270,341.2
280,341.8
290,342.4
300,343.0
310,342.2
320,341.4
330,340.6
340,339.8
350,339.0
360,331.0
370,323.0
380,315.0
390,307.0
400,299.0
410,269.0
