alt,val
90,35
100,36.666666666666664
110,38.333333333333336
120,40.0
130,41.666666666666664
140,43.33333333333333
150,45.0
160,46.666666666666664
170,48.33333333333333
180,50
190,52.857142857142854
200,55.714285714285715
210,58.57142857142857
220,61.42857142857143
230,64.28571428571428
240,67.14285714285714
250,70
260,70.9
270,71.8
280,72.7
290,73.6
300,74.5
310,75.4
320,76.3
330,77.2
340,78.1
350,79
